B_min,B_max,sigma_set,sigma_X1,sigma_X2,sigma_X3,sigma_X4,loss,case,model,accuracy,macro_f1,weighted_f1,train_windows,test_windows,train_R0,train_R1,test_R0,test_R1,gap_windows,tn,fp,fn,tp
50,2000,low_snr,0.05,0.1,0.15,0.2,mse,source_change,tree,0.9279731993299832,0.48132059079061684,0.9626411815812337,2791,1194,1585,1206,1194,0,10,1108,86,0,0
50,2000,low_snr,0.05,0.1,0.15,0.2,mse,lag_change,majority_baseline,1.0,1.0,1.0,2791,1194,1585,1206,1194,0,10,1194,0,0,0
50,2000,low_snr,0.05,0.1,0.15,0.2,mse,lag_change,logistic,1.0,1.0,1.0,2791,1194,1585,1206,1194,0,10,1194,0,0,0
50,2000,low_snr,0.05,0.1,0.15,0.2,mse,lag_change,tree,0.9321608040201005,0.48244473342002603,0.9648894668400521,2791,1194,1585,1206,1194,0,10,1113,81,0,0
50,2000,low_snr,0.05,0.1,0.15,0.2,mse,sign_change,majority_baseline,1.0,1.0,1.0,2791,1194,1585,1206,1194,0,10,1194,0,0,0
50,2000,low_snr,0.05,0.1,0.15,0.2,mse,sign_change,logistic,1.0,1.0,1.0,2791,1194,1585,1206,1194,0,10,1194,0,0,0
50,2000,low_snr,0.05,0.1,0.15,0.2,mse,sign_change,tree,0.9338358458961474,0.48289302728453876,0.9657860545690775,2791,1194,1585,1206,1194,0,10,1115,79,0,0
50,2000,high_snr,1.0,0.05,0.05,1.0,mse,source_change,majority_baseline,1.0,1.0,1.0,2791,1194,1585,1206,1194,0,10,1194,0,0,0
50,2000,high_snr,1.0,0.05,0.05,1.0,mse,source_change,logistic,1.0,1.0,1.0,2791,1194,1585,1206,1194,0,10,1194,0,0,0
50,2000,high_snr,1.0,0.05,0.05,1.0,mse,source_change,tree,1.0,1.0,1.0,2791,1194,1585,1206,1194,0,10,1194,0,0,0
50,2000,high_snr,1.0,0.05,0.05,1.0,mse,lag_change,majority_baseline,1.0,1.0,1.0,2791,1194,1585,1206,1194,0,10,1194,0,0,0
50,2000,high_snr,1.0,0.05,0.05,1.0,mse,lag_change,logistic,1.0,1.0,1.0,2791,1194,1585,1206,1194,0,10,1194,0,0,0
50,2000,high_snr,1.0,0.05,0.05,1.0,mse,lag_change,tree,0.998324958123953,0.49958088851634536,0.9991617770326907,2791,1194,1585,1206,1194,0,10,1192,2,0,0
50,2000,high_snr,1.0,0.05,0.05,1.0,mse,sign_change,majority_baseline,1.0,1.0,1.0,2791,1194,1585,1206,1194,0,10,1194,0,0,0
50,2000,high_snr,1.0,0.05,0.05,1.0,mse,sign_change,logistic,1.0,1.0,1.0,2791,1194,1585,1206,1194,0,10,1194,0,0,0
50,2000,high_snr,1.0,0.05,0.05,1.0,mse,sign_change,tree,0.983249581239531,0.49577702702702703,0.9915540540540542,2791,1194,1585,1206,1194,0,10,1174,20,0,0
